37.42560, -122.19214
37.42584, -122.19175
37.42615, -122.19132
37.42659, -122.19098
37.42686, -122.19081
37.42751, -122.19033
37.42772, -122.19021
37.42819, -122.18991
37.42881, -122.18943
37.42918, -122.18896
37.42949, -122.18840
37.43034, -122.18724
37.43116, -122.18626
37.43170, -122.18544
37.43200, -122.18511 
37.43230, -122.18478 
37.43260, -122.18445 
37.43290, -122.18412 
37.43290, -122.18379 
37.43320, -122.18346 
37.43320, -122.18313 
37.43350, -122.18280 
37.43380, -122.18247 
37.43410, -122.18214 
37.43436, -122.18181
37.43480, -122.18119 
37.43524, -122.18057 
37.43568, -122.17995
37.43612, -122.17929
37.43656, -122.17867
37.43700, -122.17805
37.43744, -122.17877
37.43788, -122.17743
37.43832, -122.17681
37.43879, -122.17561
